id	name	author	time	style	description
41	马可福音	马可	公元55-65年	福音	马可是最短的福音书，它强调耶稣的仆人身份和奇迹。
42	路加福音	路加	公元60年	福音	与其他福音书作者不同，路加是一个外邦人，他为犹太信仰以外的人写下了耶稣生平的记述。
43	约翰福音	约翰	公元85-90年	福音	四福音书的最后一部，约翰是耶稣事工的目击者记述，重点关注围绕基督生平、死亡和复活的事件的更深层含义。
44	使徒行传	路加	公元63-70年	历史	早期教会的历史叙述，它被圣灵赋予能力传播好消息。
45	罗马书	保罗	公元70	书信	一封写给保罗计划访问的罗马信徒的书信（因此得名），罗马书为通过耶稣的信仰奠定了神学基础。
46	哥林多前书	保罗	公元55年	书信	保罗写给哥林多信徒的两封信中的第一封，哥林多前书是为了回应当地教会面临的分裂和问题。
47	哥林多后书	保罗	公元55-57年	书信	保罗写给哥林多教会的第二封也是最后一封信，哥林多前书处理了那里信徒面临的持续问题，并警告假教师。
48	加拉太书	保罗	公元49年	书信	保罗写给加拉太教会的一封信，这本书是一个基础性的研究，它解决了犹太律法主义的问题以及在耶稣身上发现的完全救恩。
49	以弗所书	保罗	公元60年	书信	在保罗第一次被监禁期间，写给以弗所教会的以弗所书涵盖了各种主题，包括恩典的恩赐、爱以及如何作为耶稣富有成效的跟随者而行。
50	腓立比书	保罗	公元61年	书信	保罗写给腓立比教会的一封鼓励信，解释了信徒要经历主的喜乐所必须具备的态度和观点。
51	歌罗西书	保罗	公元60年	书信	在这封信中，保罗驳斥了某些阻碍歌罗西教会的错误教导，重申了耶稣基督的神性和优越性。
52	帖撒罗尼迦前书	保罗	公元51年	书信	保罗写给帖撒罗尼迦信徒的两封信中的第一封，是为了鼓励和加强教会，强调通过信、望和爱过圣洁生活的原则。
53	帖撒罗尼迦后书	保罗	公元51年	书信	一封对受迫害的帖撒罗尼迦教会的后续鼓励信，保罗重申了耶稣的第二次降临以及在那次事件之前的事情。
54	提摩太前书	保罗	公元54年	书信	保罗写给一位名叫提摩太的年轻牧师的信，为今天仍然适用的教会领导提供了指导和重要原则。
55	提摩太后书	保罗	公元67年	书信	写给提摩太的两封信中的第二封，这本书可能是保罗最后一封按时间顺序排列的书信，敦促他的门徒对耶稣保持坚强和忠诚。
56	提多书	保罗	公元65年	书信	保罗给提多的一封指导信，以应对他在克里特岛上的教会领导所面临的挑战。
57	腓利门	保罗	公元60年	书信	这本书只有一章，是保罗写给腓利门的一封简短而深刻的信，请求宽恕一个名叫阿尼西母的逃跑奴隶。
58	希伯来书	未知	公元68年	书信	一封信，敦促犹太信徒不要回到他们以前的传统，总结圣经的关键人物和事件，强调通过耶稣得救的希望。
59	雅各书	雅各 (耶稣的同父异母兄弟)	公元49年	书信	来自雅各的一封强硬的信，鼓励信徒有真正的信仰，强调结果。
60	彼得前书	彼得	公元65年	书信	彼得第一封书信的重点是迫害，为生活在罗马帝国受压迫的少数群体的基督徒分享鼓舞人心的安慰话语。
61	彼得后书	彼得	公元66年	书信	彼得的第二封信警告假教师，并重申重要的属灵真理。
62	约翰一书	约翰	公元90-95年	书信	写来反对异端教义，约翰的第一封信呼应了福音，鼓励基督徒彼此相爱，遵守耶稣的命令。
63	约翰二书	约翰	公元90-95年	书信	约翰写给"被选中的女士"的一封简短的信，敦促信徒彼此相爱，提防错误的教义。
64	约翰三书	约翰	公元90-95年	书信	圣经中最短的一本书，约翰三书称赞该犹和德米特鲁伊的忠心服务。
65	犹大书	犹大 (耶稣的同父异母兄弟)	公元65年	书信	一封来自犹大的信，旨在解决错误的教义并敦促基督徒捍卫福音的真理。
66	启示录	约翰	公元95年	启示录	写于约翰在拔摩岛被监禁期间，启示录是一本世界末日的书，其中包含对精神领域和耶稣返回地球的预言。
